Agency,location,bedrooms,bathrooms,price
City Homes Kenya Real Estate,"School lane, Westlands Area, Westlands",2,2,150000
Pam Golding Properties,"Argwings Kodhek Rd, Kilimani, Dagoretti North",3,2,150000
Pam Golding Properties,"Gigiri, Westlands",3,2,150000
Vaal Real Estate,"Kiambere Road, Upper Hill, Langata",2,2,150000
Lavingtonmanagement,"Mbaazi, Lavington, Dagoretti North",4,3,150000
Yellow Market,"Near Yaya Center, Kilimani, Dagoretti North",1,1,150000
Yellow Market,"behind Junction Mall, Kilimani, Dagoretti North",3,3,150000
Wealthlink Realtors Ltd,"Kileleshwa, Dagoretti North",4,4,150000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",4,4,150000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,2,150000
Apricotsolutions Limited,"Riverside, Westlands",2,2,150000
Dmus Realtors,"General Mathenge Drive, General Mathenge, Westlands",4,4,150000
Hilltrust Consult,"Brookside Drive, Brookside, Westlands",3,3,150000
Right Fit Properties,"Kileleshwa, Dagoretti North",3,2,150000
Naftal Properties,"Lavington, Dagoretti North",4,4,150000
Ws Properties Limited,"Rhapta Road, Westlands",3,3,150000
Vsb Properties Limited,"School Lane, Parklands, Westlands",2,2,150000
Allione Real Estate,"Kilimani, Dagoretti North",2,2,150000
Cfs Homes,"Brookside, Westlands",3,1,150000
Urban Hut,"Lavington, Dagoretti North",4,4,150000
Fit Property,"Raphta Road, Westlands, Nairobi, Rhapta Road, Westlands",3,1,150000
Spark Properties,"Mbaazi, Mbaazi, Lavington, Dagoretti North",3,2,150000
Furnished Rentals,"Lavington, Dagoretti North",3,3,150000
Furnished Rentals,"Kilimani, Dagoretti North",2,2,150000
Furnished Rentals,"Kileleshwa, Dagoretti North",3,3,150000
J M Mccarthy Properties Ltd,"Westlands Area, Westlands",2,2,150000
Furnished Rentals,"Parklands, Westlands",2,2,155000
Ensuite Realtors,"Brookside, Westlands",3,2,155000
Buy Rent Shelters,"General Mathenge, Spring Valley, Westlands",4,4,155000
Paradigm Homes,"Brookside, Westlands",3,2,155000
Dmus Realtors,"Riverside Drive, Riverside, Westlands",3,2,155000
Pam Golding Properties,"Westlands Area, Westlands",4,3,158000
Mambo Properties Enterprise,"Mpaka Rd, Westlands Area, Westlands",4,3,160000
Mambo Properties Enterprise,"General Mathenge, General Mathenge, Westlands",2,2,160000
Pam Golding Properties,"Gigiri, Westlands",1,1,160000
Gimco Limited,"Lavington, Dagoretti North",4,3,160000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",4,4,160000
Origin Homes,"Lavington, Dagoretti North",4,4,160000
Jazari Homes,"Ole-ndume road, Kilimani, Kilimani, Dagoretti North",4,3,160000
Sky Limits Ventures,"Riara Rd, Lavington, Dagoretti North",3,3,160000
Wealthlink Realtors Ltd,"General Mathenge, Westlands",3,3,160000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,2,160000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,160000
Wealthlink Realtors Ltd,"Gigiri, Westlands",3,2,160000
Dakima Home International,"Oldonyo Sabuk, Westlands Area, Westlands",2,2,160000
Dakima Home International,"Brookside, Brookside, Westlands",3,3,160000
Rejima Homes Ltd,"Westlands Area, Westlands",3,1,160000
Rejima Homes Ltd,"General Mathenge, Westlands",3,2,160000
Rejima Homes Ltd,"Rhapta Road, Westlands",1,1,160000
Ws Properties Limited,"Gitanga Road, Kileleshwa, Dagoretti North",3,3,160000
Lizmor Properties,"Opposite Parklands Baptist Church, Westlands Area, Westlands",3,3,160000
Taji Suburbs Ltd,"Spring Valley, Westlands",4,4,160000
A List Real Estate,"Valley Arcade, Mbaazi Avenue, Lavington, Dagoretti North",3,3,160000
Allione Real Estate,"Valley Arcade, Dagoretti North",3,3,160000
Greenday Properties,"Spring Valley, Westlands",2,1,160000
J M Mccarthy Properties Ltd,"Riverside, Westlands",3,3,160000
Dalizu Holdings Limited,"Kileleshwa, Dagoretti North",2,2,160000
Coralinternational Ltd,"Brookside, Westlands",4,4,160000
Coralinternational Ltd,"Mvuli road, Westlands Area, Westlands",3,2,160000
Opus Properties,"Upper Hill, Langata",3,1,160000
Canaan Properties,"General Mathenge, Westlands",3,3,160000
Eastwood Consulting Ltd,"Donyo Sabuk Avenue , General Mathenge, Westlands",4,4,160000
Mambo Properties Enterprise,"General Mathenge, Westlands",2,2,160000
Mambo Properties Enterprise,"Ole Dume, Kilimani, Dagoretti North",3,3,160000
Mambo Properties Enterprise,"Mwingi Rd, Kileleshwa, Dagoretti North",3,3,160000
Green Knight Properties,"Denispritt, Kitale Lane, Kilimani, Dagoretti North",2,2,160000
Cass Homes Limited,"Riverside, Westlands",3,3,160000
Azizi Realtors,"Mbaazi Avenue, Lavington, Dagoretti North",3,2,160000
Origin Homes,"Karura, Westlands",2,2,160000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",1,1,160000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,160000
Olympia Gold Real Estate,"Riverside, Westlands",3,3,160000
Rejima Homes Ltd,"Kileleshwa, Dagoretti North",2,2,160000
Westside Real Estate,"01, Marula Lane, Kilimani, Dagoretti North",4,4,160000
Ws Properties Limited,"General Mathenge Road, General Mathenge, Westlands",4,4,160000
Ws Properties Limited,"Lavington, Dagoretti North",2,2,160000
Lighthouse Homes Limited,"Parklands, Westlands",3,3,160000
Ensuite Realtors,"Othaya Road, Kileleshwa, Dagoretti North",4,4,160000
Canaan Properties,"Kilimani, Dagoretti North",3,3,160000
Mambo Properties Enterprise,"Ole Dume, Kilimani, Dagoretti North",3,3,160000
Mambo Properties Enterprise,"General Mathenge, General Mathenge, Westlands",4,4,160000
Cass Homes Limited,"Rhapta Road, Rhapta Road, Westlands",3,1,160000
Cass Homes Limited,"Riverside, Westlands",3,3,160000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,160000
Highend Consulting,"General Mathenge Drive, Spring Valley, Westlands",4,4,160000
Wealthlink Realtors Ltd,"Loresho, Westlands",4,4,160000
Pam Golding Properties,"Westlands Area, Westlands",2,2,160000
Simkar Group Limited,"Westlands, Westlands Area, Westlands",2,2,160000
Sir Francis Marketingconsultants Ltd,"Argwings Kodhek Road, Kilimani, Dagoretti North",3,3,160000
Buy Rent Shelters,"General Mathenge, General Mathenge, Westlands",4,4,160000
Pmc Estates Limited,"Kilimani, Dagoretti North",2,2,160000
Fit Property,"Mpaka Road, Westlands, Nairobi, Westlands Area, Westlands",4,3,160000
Lizmor Properties,"Westlands Area, Westlands",2,2,160000
Lizmor Properties,"Waiyaki Way, Westlands",1,1,160000
Sunflag Kenya,"Lower kabete, Kabete Lane, Spring Valley, Westlands",3,2,160000
Dalizu Holdings Limited,"Brookside, Westlands",3,3,160000
Mambo Properties Enterprise,"Ole Dume, Kilimani, Dagoretti North",3,3,165000
Eden Height Realty,"Rhapta Road, Westlands",3,3,165000
Calmillers_Holding_Ltd,"Argwings Kodhek, Kilimani, Dagoretti North",3,3,165000
Afrique Properties Limited,"Mpaka Road, Westlands Area, Westlands",4,4,165000
Canaan Properties,"Parklands, Westlands",4,1,165000
Dayfield Agencies,"General Mathenge, Westlands",3,3,165000
Falcon Sight Properties,"General mathenge, General Mathenge, Westlands",3,3,165000
Fit Property,"6Th Parklands, Nairobi , Parklands, Westlands",3,1,165000
Ws Properties Limited,"General Mathenge Road, General Mathenge, Westlands",3,3,165000
Coralinternational Ltd,"Westlands Area, Westlands",4,3,165000
Coralinternational Ltd,"Brookside, Westlands",4,3,165000
Green Knight Properties,"Peponi Road, Peponi Road, Karura, Westlands",2,2,165000
Geoscape Global Limited,"Kilimani, Dagoretti North",3,3,165000
Pmc Estates Limited,"Lavington, Dagoretti North",2,2,165000
Westside Real Estate,"Galana Road, Kilimani, Dagoretti North",2,2,165000
Coralinternational Ltd,"Argwings Kodhek, Lavington, Dagoretti North",3,3,170000
Mambo Properties Enterprise,"General Mathenge, General Mathenge, Westlands",3,3,170000
Mambo Properties Enterprise,"Arwings Kodhek, Kilimani, Dagoretti North",3,2,170000
Mambo Properties Enterprise,"Kitale Lane, Kilimani, Dagoretti North",3,3,170000
Mambo Properties Enterprise,"Peponi rd, Spring Valley, Westlands",2,2,170000
Capstone Properties,"General Mathege, General Mathenge, Westlands",3,3,170000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",3,3,170000
Sky Limits Ventures,"Othaya Rd, Kileleshwa, Dagoretti North",3,3,170000
Hyra Real Estate Ltd,"Parklands, Westlands",3,3,170000
Dakima Home International,"General Mathenge, General Mathenge, Westlands",3,3,170000
Dakima Home International,"General mathenge, General Mathenge, Westlands",3,3,170000
Castles Cabins Realtors,"Nyari, Westlands",3,3,170000
Ws Properties Limited,"General Mathenge Road, General Mathenge, Westlands",4,4,170000
Ws Properties Limited,"Brookside Drive, Brookside, Westlands",3,3,170000
Mambo Properties Enterprise,"Dennis Pritt, Kilimani, Dagoretti North",2,2,170000
Crystal Valuers Ltd,"Signature Residence Nairobi, Kileleshwa, Dagoretti North",3,3,170000
Crystal Valuers Ltd,"Amrutha Brookside Dr Nairobi, Brookside, Westlands",3,3,170000
Eden Height Realty,", Dennis Pritt, Kilimani, Dagoretti North",2,2,170000
Absolute Estate Agents,"Menelik road Kilimani , Kilimani, Dagoretti North",2,2,170000
Masterways Properties Ltd,"School Lane, Brookside, Westlands",3,3,170000
Cloud Real Estate,"Parklands, Westlands",2,2,170000
Rejima Homes Ltd,"General Mathenge, Westlands",2,2,170000
Dunhill Consulting Limited,"Chaka Road, Kilimani, Dagoretti North",1,1,170000
Furnished Rentals,"Kilimani, Dagoretti North",2,2,170000
Furnished Rentals,"Kilimani, Dagoretti North",3,3,170000
Swiveltrend Ltd,"Marcus Garvey Road, Kilimani, Dagoretti North",3,3,170000
Green Knight Properties,"Dennis Pritt, Kilimani, Dagoretti North",2,2,170000
Mambo Properties Enterprise,"Othaya Rd, Kileleshwa, Dagoretti North",3,3,170000
Kenya Classic Homes,"Kilimani, Dagoretti North",5,5,170000
Capstone Properties,"Riverside, Westlands",3,3,170000
Halifax Estate Agency,"Mpaka road, Parklands, Westlands",4,3,170000
Pam Golding Properties,"Kilimani, Dagoretti North",1,1,170000
Pam Golding Properties,"Westlands Area, Westlands",3,3,170000
Gemac Properties,"Brookside Drive, Brookside, Westlands",3,3,170000
Fit Property,"Parklands Road, Westlands, Nairobi, Parklands, Westlands",4,3,170000
A1 Properties Limited,"General Mathenge, Westlands",3,3,170000
The Houswitch Haven Ltd,"Garden City, Thika Road, Thika Road, Thika Road",3,2,170000
Gerryville Homes,"Riverside, Westlands",3,3,170000
Furnished Rentals,"Kilimani, Dagoretti North",2,2,170000
Pam Golding Properties,"Kilimani, Dagoretti North",3,3,172000
Apricotsolutions Limited,"Parklands, Westlands",4,4,172000
Prime Lands,"General Mathenge Drive, Parklands, Westlands",3,1,175000
Capstone Properties,"General Mathenge, Westlands",3,1,175000
Royal Properties Market Limited,"General Mathenge, Westlands",3,3,175000
Buy Rent Shelters,"General Mathenge, Westlands Area, Westlands",4,4,175000
Cloud Real Estate,"General Mathenge, Westlands",4,3,175000
Naftal Properties,"Kilimani, Dagoretti North",2,2,175000
Capstone Properties,"Parklands, Westlands",3,3,175000
Wealthlink Realtors Ltd,"General Mathenge, Westlands",4,4,175000
Buy Rent Shelters,"Donyo Sabuk Avenue, General Mathenge, Westlands",4,4,175000
Dakima Home International,"General Mathenge, Westlands",3,3,175000
Coralinternational Ltd,"Riverside Grove, Riverside, Westlands",3,3,175000
Buy Rent Shelters,"General Mathenge, Westlands",3,3,175000
Buy Rent Shelters,"Donyo Sabuk Avenue, General Mathenge, Westlands",4,4,175000
Buy Rent Shelters,"Westlands, Westlands Area, Westlands",4,4,175000
Coralinternational Ltd,"Wood Avenue, Kilimani, Dagoretti North",2,2,180000
Coralinternational Ltd,"Off Riverside Drive, Riverside, Westlands",3,3,180000
Rainbow Properties Limited,"State House, Dagoretti North",3,1,180000
Mambo Properties Enterprise,"Kitale Lane, Kilimani, Dagoretti North",2,2,180000
Green Knight Properties,"riverside drive, Riverside, Westlands",4,4,180000
Simkar Group Limited,"Kilimani, Kilimani, Dagoretti North",3,3,180000
Realty Plus,"Kilimani, Dagoretti North",3,3,180000
Ring Kenya Ltd,"Upper Hill, Langata",4,4,180000
Royal Properties Market Limited,"Westlands Area, Westlands",1,1,180000
City Homes Kenya Real Estate,"Mwanzi road, Westlands Area, Westlands",2,2,180000
Origin Homes,"Brookside Drie, Karura, Westlands",3,3,180000
Origin Homes,"Brookside, Westlands",3,3,180000
Avic International,"Laikipia Road, Kileleshwa, Dagoretti North",3,1,180000
Dmus Realtors,"Peponi road, Spring Valley, Westlands",2,2,180000
A1 Properties Limited,"Kileleshwa, Dagoretti North",4,4,180000
Geoscape Global Limited,"Westlands Area, Westlands",4,4,180000
Pmc Estates Limited,"Kilimani, Dagoretti North",2,1,180000
