Agency,location,bedrooms,bathrooms,price
Unique Casles Management Ltd,"Milimani, Kilimani, Dagoretti North",2,1,52500
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",3,3,54000
Homekenya24,"Ruaka, Kiambaa",3,2,54000
Crystal Valuers Ltd,"Four Points Apartments, Uthiru/Ruthimitu, Dagoretti South",2,2,55000
Prime Lands,"Kilimani, Dagoretti North",2,2,55000
Green Knight Properties,"Gatundu road , Kileleshwa, Dagoretti North",1,1,55000
Real Management Services 2002Limited,"Rhaphta Road, Waiyaki Way, Westlands",3,1,55000
Range Wide Properties,"Kileleshwa, Dagoretti North",2,2,55000
Range Wide Properties,"Rhapta Road, Westlands",1,1,55000
El Roi Properties,"Kiambu Road, Kiambu Road",3,2,55000
Buy Rent Shelters,"Kiambu Rd, Thindigua, Thindigua",3,3,55000
Wealthlink Realtors Ltd,"Kahawa West, Roysambu",2,2,55000
Masterways Properties Ltd,"Wanyee Road, Naivasha Road, Dagoretti North",3,2,55000
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,55000
Links Properties,"Ngong Road, Ngong Road, Ngong Road",2,1,55000
Dalizu Holdings Limited,"Lavington, Dagoretti North",2,2,55000
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North",1,1,55000
Hanspace Limited,"Off Naivasha road, Dagoretti Corner, Dagoretti South",3,2,55000
Levindia Properties,"kiambu road, kiambu road, Kiambu Road, Kiambu Road",3,3,55000
Liflac Properties,"Loresho, Westlands",2,2,55000
Splendor Holdings,"Kilimani, Dagoretti North",1,1,55000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",3,2,55000
Swiveltrend Ltd,"Loresho, Westlands",2,2,55000
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North",1,1,55000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,55000
Range Wide Properties,"Lavington, Dagoretti North",3,2,55000
Absolute Estate Agents,"Kileleshwa, Dagoretti North",3,3,55000
Masterways Properties Ltd,"Riverside Mews, Riverside, Westlands",1,1,55000
Wealthlink Realtors Ltd,"Loresho, Westlands",2,2,55000
