,location,bedrooms,bathrooms,price
374,"Hurlingham, Hurlingham, Dagoretti North",2,2,65000
375,"Kileleshwa, Dagoretti North",1,1,65000
376,"Rhapta Road, Westlands",3,2,65000
377,"Waiyaki Way, Westlands",3,2,65000
378,"21 05 06, 29 RA, Westlands Area, Westlands",2,1,65000
379,"langata, Langata Area, Langata",3,1,65000
380,"Mbaazi, Mbaazi, Lavington, Dagoretti North",1,1,65000
381,"Mbaazi, Lavington, Dagoretti North",1,1,65000
382,"Upper Hill, Langata",2,2,65000
383,"wambugu road, 1st parkland, Parklands, Westlands",2,2,65000
384,"Kileleshwa, Dagoretti North",2,2,65000
385,"Kilimani, Dagoretti North",1,1,65000
386,"westlands, Westlands, Riverside, Westlands",3,2,65000
387,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
388,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North",3,2,65000
389,"Waiyaki Way, Westlands",3,3,65000
390,"Mombasa Road Next To Eka Hotel, Mombasa Road, Mombasa Road",1,1,65000
391,"Vanga road, Valley arcade, Lavington, Dagoretti North",2,2,65000
392,"Loresho, Westlands Area, Westlands",2,2,65000
393,"Lavington, Dagoretti North",2,2,65000
394,"Kindaruma road, Kilimani, Dagoretti North",2,2,65000
395,"Brookside Drive, Brookside, Westlands",2,2,65000
396,"Kilimani, Dagoretti North",2,2,65000
397,"Valley Arcade, Dagoretti North",2,2,65000
398,"Kileleshwa, Dagoretti North",2,2,65000
399,"Argwings Kodhek, Kilimani, Dagoretti North",2,2,65000
400,"Near Yaya Center, Kilimani, Dagoretti North",1,1,65000
401,"Kileleshwa, Dagoretti North",2,2,65000
402,"Kileleshwa, Dagoretti North",3,2,65000
403,"Kileleshwa, Dagoretti North",2,2,65000
404,"21 05 07, 20 RA, Lavington, Dagoretti North",3,3,65000
405,"Mogotio Road, Westlands Area, Westlands",3,3,65000
406,"Ngong Road, Ngong Road",3,2,65000
407,"George Padmore lane, Kilimani, Dagoretti North",1,1,65000
408,"Kileleshwa, Dagoretti North",2,2,65000
409,"lavington, Lavington, Dagoretti North",1,1,65000
410,"kilimani, Kilimani, Kilimani, Dagoretti North",2,2,65000
411,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,65000
412,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
413,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
414,"Rhapta Road, Westlands",3,2,65000
415,"Loresho, Westlands Area, Westlands",2,2,65000
416,"Valley Arcade, Lavington, Dagoretti North",2,2,65000
417,"Lavington, Valley Arcade, Dagoretti North",2,2,65000
418,"Kileleshwa, Dagoretti North",2,2,65000
419,"Statehouse Cresent, Off Statehouse Road, State House, Dagoretti North",3,1,65000
420,"Thindigua, Thindigua",3,3,65000
421,"Kileleshwa, Dagoretti North",2,1,65000
422,"Loresho, Loresho, Westlands",2,2,65000
423,"Kileleshwa, Dagoretti North",2,2,65000
424,"Nairobi West, Langata",1,1,65000
425,"Kilimani, Dagoretti North",2,1,65000
426,"Kileleshwa, Dagoretti North",3,2,65000
427,"Lavington, Lavington, Lavington, Dagoretti North",3,2,65000
428,"500Meters From Delta Petrol Station, Kiambu Road, Kiambu Road",3,1,66000
429,"Ngong Racecourse, Ngong Road, Ngong Road",3,2,66000
430,"Westlands Area, Westlands",3,3,67000
431,"Kileleshwa, Dagoretti North",2,2,67000
432,"Off Brookside Drive, Soorae Flats, Brookside, Westlands",2,2,67500
433,"lavington, Lavington, Lavington, Dagoretti North",3,2,67500
434,"Kileleshwa, Dagoretti North",3,2,68000
435,"Gathanju, Lavington, Dagoretti North",2,2,68000
436,"Masari road, Parklands, Westlands",2,2,69997
437,"Kikambala Road, Kileleshwa, Dagoretti North",2,2,70000
438,"Gatundu Close, Kileleshwa, Dagoretti North",2,1,70000
439,"Kilimani, Dagoretti North",2,1,70000
440,"Kilimani, Dagoretti North",3,3,70000
441,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,70000
442,"Fourways Junction Estate, Kiambu Road, Kiambu Road",3,2,70000
443,"Mocah Courtyard, Kiambu Road, Kiambu Road",3,3,70000
444,"FOURWAYS, Kiambu Road, Kiambu Road",3,2,70000
445,"Fourways junction, Kiambu Road, Kiambu Road",3,2,70000
446,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,70000
447,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North",3,2,70000
448,"Kilimani, Dagoretti North",3,2,70000
449,"Wood Avenue, Wood Avenue, Kilimani, Dagoretti North",3,2,70000
450,"Kahawa West, Roysambu",3,2,70000
451,"Waiyaki Way, Westlands",3,3,70000
452,"Lavington, Dagoretti North",2,2,70000
453,"Valley Arcade, Dagoretti North",2,1,70000
454,"Usiu Road, Thika Road, Thika Road",3,2,70000
455,"Kileleshwa, Dagoretti North",2,2,70000
456,"Kilimani, Dagoretti North",2,2,70000
457,"Kilimani, Dagoretti North",2,1,70000
458,"Milimani, Milimani",2,2,70000
459,"Mountain View, Westlands",3,2,70000
460,"Kiambu Road, Kiambu Road",3,2,70000
461,"21 05 07, 18 RA, Rhapta Road, Westlands",2,2,70000
462,"Muringa groove, Muringa road, Kilimani, Dagoretti North",3,2,70000
463,"Kizingo, Kizingo, kizingo, Mvita",4,3,70000
464,"Westlands Area, Westlands",2,2,70000
465,"Riara Road, Kilimani, Dagoretti North",3,1,70000
466,"riara road, Kilimani, Dagoretti North",3,2,70000
467,"Near USIU, Safari park, Zimmermann, Roysambu",4,4,70000
468,"Acacia Drive, Runda, Westlands",2,1,70000
469,"Ruaka, Kiambaa",3,2,70000
470,"Sibiloi , Ojijo, Parklands, Westlands",2,2,70000
471,"Lavington, Dagoretti North",3,2,70000
472,"Valley Arcade, Lavington, Dagoretti North",3,2,70000
473,"Kilimani, Dagoretti North",2,2,70000
474,"Laikipia road, Kileleshwa, Dagoretti North",2,2,70000
475,"Westlands Area, Westlands",2,2,70000
476,"Off Rapta Rd, Westlands Area, Westlands",3,3,70000
477,"Kileleshwa, Dagoretti North",2,1,70000
478,"Kileleshwa, Dagoretti North",2,2,70000
479,"Kileleshwa, Dagoretti North",3,2,70000
480,"Riara Rd, Lavington, Dagoretti North",3,3,70000
481,"Rhapta Road, Westlands Area, Westlands",2,2,70000
482,"Rhapta Road, Rhapta Road, Westlands",3,2,70000
483,"Lavington, Dagoretti North",3,3,70000
484,"Kileleshwa, Dagoretti North",2,2,70000
485,"Kilimani, Dagoretti North",1,1,70000
486,"Mimosa, Ngong Road, Ngong Road",3,2,70000
487,"21 04 30, 43 RA, Waiyaki Way, Westlands",3,3,70000
488,"kilimani, Kilimani, Kilimani, Dagoretti North",2,2,70000
489,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,70000
490,"East Church Road, Parklands, Westlands",3,2,70000
491,"Lavington, Dagoretti North",2,1,70000
492,"Ngong Road, Ngong Road",3,2,70000
493,"Wambugu rd, Parklands, Westlands",3,2,70000
